CarID,start_time,end_time,duration,lat,lon,cluster_id,location
1,2014-01-06 08:04:08,2014-01-06 12:17:01,15173.0,36.048025,24.879573,2,Brew've Been Served
1,2014-01-06 12:26:27,2014-01-06 13:25:01,3514.0,36.076676,24.857626,1,Guy's Gyros
1,2014-01-06 13:34:26,2014-01-06 17:44:01,14975.0,36.048052,24.879569,2,Brew've Been Served
1,2014-01-06 19:49:01,2014-01-06 20:27:01,2280.0,36.075275,24.85632,1,Guy's Gyros
1,2014-01-06 23:01:01,2014-01-07 01:10:01,7740.0,36.048056,24.87957,2,Brew've Been Served
1,2014-01-07 03:20:01,2014-01-07 07:20:01,14400.0,36.066473,24.882612,0,Kronos Mart
1,2014-01-07 07:22:04,2014-01-07 07:56:01,2037.0,36.063658,24.885903,23,Hallowed Grounds
1,2014-01-07 08:03:08,2014-01-07 12:09:01,14753.0,36.048049,24.879572,2,Brew've Been Served
1,2014-01-07 12:15:16,2014-01-07 13:43:01,5265.0,36.059711,24.858019,12,Gelatogalore
1,2014-01-07 13:49:15,2014-01-07 17:40:01,13846.0,36.048049,24.879569,2,Brew've Been Served
1,2014-01-07 18:55:52,2014-01-07 20:42:01,6369.0,36.051949,24.870827,9,Ouzeri Elian
1,2014-01-07 20:46:51,2014-01-08 07:47:01,39610.0,36.06646,24.882631,0,Kronos Mart
1,2014-01-08 08:07:08,2014-01-08 12:08:01,14453.0,36.048048,24.87957,2,Brew've Been Served
1,2014-01-08 13:57:26,2014-01-08 17:51:01,14015.0,36.048052,24.879573,2,Brew've Been Served
1,2014-01-08 21:29:01,2014-01-08 23:53:01,8640.0,36.04806,24.879571,2,Brew've Been Served
1,2014-01-09 03:20:01,2014-01-09 07:21:01,14460.0,36.066464,24.88259,0,Kronos Mart
1,2014-01-09 07:23:04,2014-01-09 07:51:01,1677.0,36.063678,24.885892,23,Hallowed Grounds
1,2014-01-09 07:58:08,2014-01-09 12:09:01,15053.0,36.048048,24.879574,2,Brew've Been Served
1,2014-01-10 07:52:04,2014-01-10 08:08:01,957.0,36.063682,24.885931,23,Hallowed Grounds
1,2014-01-10 08:15:08,2014-01-10 12:21:01,14753.0,36.048051,24.879571,2,Brew've Been Served
1,2014-01-10 12:23:05,2014-01-10 13:21:01,3476.0,36.051943,24.870828,9,Ouzeri Elian
1,2014-01-10 19:20:01,2014-01-10 23:32:01,15120.0,36.085461,24.860411,8,Shoppers' Delight
1,2014-01-10 23:39:32,2014-01-11 12:40:01,46829.0,36.066484,24.882603,0,Kronos Mart
1,2014-01-11 15:49:01,2014-01-11 18:42:01,10380.0,36.066449,24.882591,0,Kronos Mart
1,2014-01-11 19:52:07,2014-01-12 12:45:01,60774.0,36.066449,24.882602,0,Kronos Mart
1,2014-01-12 15:14:01,2014-01-13 07:36:01,58920.0,36.066432,24.882627,0,Kronos Mart
1,2014-01-13 08:18:08,2014-01-13 12:15:01,14213.0,36.048049,24.879572,2,Brew've Been Served
1,2014-01-13 13:44:26,2014-01-13 17:30:01,13535.0,36.048049,24.879571,2,Brew've Been Served
1,2014-01-13 20:10:01,2014-01-14 07:24:01,40440.0,36.066423,24.882624,0,Kronos Mart
1,2014-01-14 07:26:04,2014-01-14 08:04:01,2277.0,36.063668,24.885934,23,Hallowed Grounds
1,2014-01-14 08:11:08,2014-01-14 12:07:01,14153.0,36.048049,24.879572,2,Brew've Been Served
1,2014-01-14 12:15:26,2014-01-14 13:22:01,3995.0,36.065825,24.852405,4,Hippokampos
1,2014-01-14 13:30:26,2014-01-14 17:42:01,15095.0,36.04806,24.879568,2,Brew've Been Served
1,2014-01-14 19:31:01,2014-01-14 21:15:01,6240.0,36.051953,24.870788,9,Ouzeri Elian
1,2014-01-15 08:06:08,2014-01-15 12:07:01,14453.0,36.048046,24.879573,2,Brew've Been Served
1,2014-01-15 12:09:05,2014-01-15 13:29:01,4796.0,36.051963,24.870801,9,Ouzeri Elian
1,2014-01-15 19:50:01,2014-01-15 20:40:01,3000.0,36.051956,24.870819,9,Ouzeri Elian
1,2014-01-15 20:53:01,2014-01-15 22:33:01,6000.0,36.066461,24.88264,0,Kronos Mart
1,2014-01-15 22:37:02,2014-01-16 00:09:01,5519.0,36.048057,24.879571,2,Brew've Been Served
1,2014-01-16 06:30:01,2014-01-16 07:48:01,4680.0,36.066486,24.882628,0,Kronos Mart
1,2014-01-16 08:17:08,2014-01-16 12:23:01,14753.0,36.048046,24.879572,2,Brew've Been Served
1,2014-01-16 13:37:41,2014-01-16 17:25:01,13640.0,36.048051,24.879572,2,Brew've Been Served
1,2014-01-17 07:47:04,2014-01-17 08:05:01,1077.0,36.063656,24.885894,23,Hallowed Grounds
1,2014-01-17 08:12:08,2014-01-17 17:52:01,34793.0,36.048049,24.879573,2,Brew've Been Served
1,2014-01-18 10:02:01,2014-01-18 12:48:01,9960.0,36.066455,24.882576,0,Kronos Mart
1,2014-01-18 13:36:43,2014-01-18 15:58:01,8478.0,36.065829,24.849819,4,Hippokampos
1,2014-01-18 19:37:01,2014-01-19 18:26:01,82140.0,36.06642,24.882604,0,Kronos Mart
1,2014-01-19 18:31:01,2014-01-19 19:52:01,4860.0,36.051951,24.870825,9,Ouzeri Elian
2,2014-01-06 13:29:41,2014-01-06 17:17:01,13640.0,36.048052,24.879571,2,Brew've Been Served
2,2014-01-06 19:00:01,2014-01-06 20:49:01,6540.0,36.076684,24.857617,1,Guy's Gyros
2,2014-01-06 20:52:01,2014-01-07 08:02:01,40200.0,36.08547,24.860409,8,Shoppers' Delight
2,2014-01-07 08:38:10,2014-01-07 12:05:01,12411.0,36.04806,24.879571,2,Brew've Been Served
2,2014-01-07 18:49:13,2014-01-07 20:10:01,4848.0,36.076687,24.857601,1,Guy's Gyros
2,2014-01-08 18:20:01,2014-01-08 19:25:01,3900.0,36.07666,24.857617,1,Guy's Gyros
2,2014-01-08 19:27:13,2014-01-09 08:01:01,45228.0,36.085453,24.860385,8,Shoppers' Delight
2,2014-01-09 13:47:41,2014-01-09 17:19:01,12680.0,36.048048,24.879572,2,Brew've Been Served
2,2014-01-10 08:32:10,2014-01-10 12:09:01,13011.0,36.04806,24.879573,2,Brew've Been Served
2,2014-01-10 13:50:15,2014-01-10 17:06:01,11746.0,36.048052,24.879568,2,Brew've Been Served
2,2014-01-11 20:31:12,2014-01-12 18:28:01,79009.0,36.085425,24.860441,8,Shoppers' Delight
2,2014-01-12 18:30:13,2014-01-12 19:30:01,3588.0,36.076628,24.857587,1,Guy's Gyros
2,2014-01-12 19:32:13,2014-01-13 07:39:01,43608.0,36.085436,24.86042,8,Shoppers' Delight
2,2014-01-13 13:49:15,2014-01-13 17:18:01,12526.0,36.048048,24.879572,2,Brew've Been Served
2,2014-01-13 20:50:13,2014-01-14 07:49:01,39528.0,36.08548,24.860372,8,Shoppers' Delight
2,2014-01-14 13:42:41,2014-01-14 17:21:01,13100.0,36.048052,24.879574,2,Brew've Been Served
2,2014-01-14 18:28:01,2014-01-14 19:45:01,4620.0,36.07666,24.857591,1,Guy's Gyros
2,2014-01-14 20:02:01,2014-01-15 08:10:01,43680.0,36.085458,24.860417,8,Shoppers' Delight
2,2014-01-15 13:31:41,2014-01-15 17:17:01,13520.0,36.048052,24.879569,2,Brew've Been Served
